baseline_model,representation,subset,MAE_mean,baseline_representation,baseline_MAE_mean,relative_improvement_vs_baseline_%
m3gnet,mat2vec+H64,all,0.0566413117497135,m3gnet-baseline,0.0641667880661018,11.727992849877229
m3gnet,mat2vec+S64,all,0.056659485942988,m3gnet-baseline,0.0641667880661018,11.69966948537318
m3gnet,mat2vec+H32,all,0.0566690636519505,m3gnet-baseline,0.0641667880661018,11.684743213930965
m3gnet,mat2vec+S32,all,0.0567164241728572,m3gnet-baseline,0.0641667880661018,11.610934749561649
m3gnet,mat2vec+L64,all,0.056753069271656,m3gnet-baseline,0.0641667880661018,11.553825612727426
m3gnet,mat2vec+L32,all,0.0567740108280612,m3gnet-baseline,0.0641667880661018,11.521189482672684
m3gnet,mat2vec,all,0.0567948828059898,m3gnet-baseline,0.0641667880661018,11.488661786402307
m3gnet,MDS_E_64_cos_zscore,all,0.0580261481540326,m3gnet-baseline,0.0641667880661018,9.569810328893785
m3gnet,MDS_64_cos_zscore,all,0.0581661316107084,m3gnet-baseline,0.0641667880661018,9.351654705253095
m3gnet,MDS_F_64_cos_zscore,all,0.0583636506978038,m3gnet-baseline,0.0641667880661018,9.04383333371753
m3gnet,MDS_32_cos_zscore,all,0.058807123571539,m3gnet-baseline,0.0641667880661018,8.352708084814068
m3gnet,MDS_F_32_cos_zscore,all,0.0589140151692256,m3gnet-baseline,0.0641667880661018,8.18612409189785
m3gnet,MDS_E_32_cos_zscore,all,0.0591580006792442,m3gnet-baseline,0.0641667880661018,7.805887652811551
m3gnet,m3gnet-baseline,all,0.0641667880661018,m3gnet-baseline,0.0641667880661018,0.0
